group,round,beer
A,1,Arany Ászok
A,2,Heineken
A,3,Tuborg
A,4,Peroni
A,5,Gösser
A,6,Arany Korsó
A,7,Löwenbrau
A,8,Soproni
A,9,Pilsner
A,10,Kőbányai 2 literes
A,11,Staropramen
A,12,Kőbányai dobozos
A,13,Borsodi
B,1,Pilsner
B,2,Arany Korsó
B,3,Borsodi
B,4,Peroni
B,5,Tuborg
B,6,Soproni
B,7,Gösser
B,8,Heineken
B,9,Kőbányai 2 literes
B,10,Arany Ászok
B,11,Staropramen
B,12,Löwenbrau
B,13,Kőbányai dobozos
C,1,Borsodi
C,2,Pilsner
C,3,Arany Ászok
C,4,Staropramen
C,5,Löwenbrau
C,6,Kőbányai 2 literes
C,7,Tuborg
C,8,Peroni
C,9,Arany Korsó
C,10,Gösser
C,11,Heineken
C,12,Kőbányai dobozos
C,13,Soproni
D,1,Staropramen
D,2,Heineken
D,3,Gösser
D,4,Arany Korsó
D,5,Löwenbrau
D,6,Pilsner
D,7,Borsodi
D,8,Arany Ászok
D,9,Tuborg
D,10,Peroni
D,11,Soproni
D,12,Kőbányai dobozos
D,13,Kőbányai 2 literes